Model,Color,License_plate,Make,Year
MKX,Red,JHMZE2H30DS428159,Lincoln,2008
Regency,Blue,2V4RW3D14AR209491,Oldsmobile,1997
911,Aquamarine,JTHBL5EF1D5260506,Porsche,2002
Eclipse,Red,19VDE3F70DE381833,Mitsubishi,1999
Miata MX-5,Aquamarine,JN8AE2KP5F9532008,Mazda,2010
Dakota,Indigo,1D7RE5GK5AS427411,Ram,2011
Tiburon,Blue,1G6DV57V890871844,Hyundai,1999
Ascender,Orange,WAUGL78E58A258595,Isuzu,2003
Yukon XL 1500,Khaki,5TDBKRFH9FS497768,GMC,2002
Summit,Blue,1FTEW1C80AK289119,Eagle,1994
